Company;Country;Ticker
Walmart Inc.;United States;WMT
Volkswagen AG;Germany;VLKAF
Berkshire Hathaway Inc.;United States;BRK-B
Ford Motor Co.;United States;F
Bayerische Motoren Werke AG (BMW);Germany;BMWYY
Comcast Corp.;United States;CMCSA
Dell Technologies Inc.;United States;DELL
SK Group;South Korea;034730.KS
Country Garden Holdings Co. Ltd.;China;2007.HK
ArcelorMittal S.A.;Luxembourg;MT
LVMH Moët Hennessy - Louis Vuitton, Société Européenne;France;MC.PA
Roche Holding AG;Switzerland;RHHBY
China Evergrande Group;China;3333.HK
Reliance Industries Ltd.;India;RELIANCE.NS
JBS S.A.;Brazil;JBSS3.SA
LG Electronics Inc.;South Korea;066570.KS
A.P. Møller - Mærsk A/S;Denmark;MAERSK-B.CO
CK Hutchison Holdings;Hong Kong;0001.HK
Power Corp. of Canada;Canada;POW.TO
Anheuser-Busch InBev S.A./N.V.;Belgium;BUD
Midea Group Co., Ltd.;China;000333.SZ
Tyson Foods, Inc.;United States;TSN
Alimentation Couche-Tard Inc.;Canada;ATD.TO
NIKE, Inc.;United States;NKE
Hanwha Corp.;South Korea;000720.KS
George Weston Ltd.;Canada;WN.TO
América Móvil, S.A.B. de C.V.;Mexico;AMX
Idemitsu Kosan Co.,Ltd.;Japan;5019.T
Enterprise Products Partners L.P.;United States;EPD
Oracle Corp.;United States;ORCL
Continental AG;Germany;CON.DE
Exor N.V.;Netherlands;EXO.AS
L'Oréal S.A.;France;OR.PA
Kuehne + Nagel International AG;Switzerland;KHNGF
Casino, Guichard-Perrachon S.A.;France;CO.PA
Rajesh Exports Ltd.;India;RAJESHEXPO.NS
Longfor Group Holdings Ltd.;China;0960.HK
S.F. Holding Co., Ltd.;China;002352.SZ
Hengli Petrochemical Co.,Ltd.;China;600346.SS
Investor AB;Sweden;INVE-A.ST
CJ Corp.;South Korea;001040.KS
Paramount Global (formerly known as ViacomCBS);United States;PARA
Randstad N.V.;Netherlands;RAND.AS
Rongsheng Petro Chemical Co., Ltd.;China;002493.SZ
Lennar Corp.;United States;LEN
Koç Holding A.S.;Turkey;KCHOL.IS
Fairfax Financial Holdings Ltd.;Canada;FFH.TO
Penske Automotive Group, Inc.;United States;PAG
Heineken Holding N.V.;Netherlands;HEIA.AS
Empresas Copec S.A.;Chile;COPEC.SN
Industria de Diseño Textil, S.A.;Spain;ITX.MC
Ceconomy AG;Germany;CEC.DE
Jerónimo Martins, SGPS, S.A.;Portugal;JMT.LS
PACCAR Inc;United States;PCAR
Empire Co. Ltd.;Canada;EMP.AX
Lithia Motors, Inc.;United States;LAD
Henkel AG & Co. KGaA;Germany;HENKY
Bolloré SE;France;BOL.PA
MERCK KGaA;Germany;MKGAF
Formosa Petrochemical Corp.;Taiwan;6505.TW
H & M Hennes & Mauritz AB;Sweden;HM-B.ST
Great Wall Motor Co. Ltd.;China;2333.HK
Sodexo S.A.;France;SW.PA
Itaú Unibanco Holding S.A.;Brazil;ITUB
Kering S.A.;France;KER.PA
Suntory Holdings Ltd.;Japan;2587.T
Baidu, Inc.;China;BIDU
Fast Retailing Co., Ltd.;Japan;FRCOY
Associated British Foods plc;United Kingdom;ABF.L
Galp Energia, SGPS, S.A.;Portugal;GALP.LS
China Hongqiao Group Ltd.;China;1378.HK
DISH Network Corp.;United States;DISH
MMC Norilsk Nickel PJSC;Russia;GMKN.ME
Evergreen Marine Corp. (Taiwan) Ltd.;Taiwan;2603.TW
CP ALL Public Co. Ltd.;Thailand;CPALL.BK
Grupo Bimbo, S.A.B. de C.V.;Mexico;BIMBOA.MX
Sany Heavy Industry Co., Ltd;China;600031.SS
Zall Smart Commerce Group Ltd.;China;2089.HK
The Estée Lauder Companies Inc.;United States;EL
Novolipetsk Steel;Russia;NLMK.ME
Geely Automobile Holdings Ltd.;Hong Kong;0175.HK
The Siam Cement Public Co. Ltd.;Thailand;SCC.BK
Schaeffler AG;Germany;SHA.DE
Charoen Pokphand Foods Public Co. Ltd.;Thailand;CPF.BK
Compagnie Financière Richemont S.A.;Switzerland;CFR.SW
Marfrig Global Foods S.A.;Brazil;MRFG3.SA
Sun Art Retail Group Ltd.;Hong Kong;6808.HK
Alfa, S. A. B. de C. V.;Mexico;ALFAA.MX
Nan Ya Plastics Corp.;Taiwan;1303.TW
Grupo México, S.A.B. de C.V.;Mexico;GMEXICOB.MX
Rakuten Group, Inc.;Japan;RKUNY
CEMEX, S.A.B. de C.V.;Mexico;CX
Indorama Ventures Public Co. Ltd.;Thailand;IVL.BK
Metalurgica Gerdau S.A.;Brazil;GGBR4.SA
Qurate Retail, Inc.;United States;QRTEA
Marriott International, Inc.;United States;MAR
Bharti Airtel Ltd.;India;BHARTIARTL.NS
Cencosud S.A.;Chile;CENCOSUD.SN
The Gap, Inc.;United States;GPS
NetEase, Inc.;China;NTES
Falabella S.A.;Chile;FALABELLA.SN
Tianneng Power International Ltd.;Hong Kong;9901.HK
Formosa Chemicals & Fibre Corp.;Taiwan;1326.TW
Meritz Financial Group Inc.;South Korea;138040.KS
Lotte Shopping Co., Ltd.;South Korea;023530.KS
Solvay S.A.;Belgium;SOLB.BR
Fox Corp.;United States;FOX
Canadian Tire Corp., Ltd.;Canada;CTC-A.TO
Universal Health Services, Inc.;United States;UHS
Muyuan Foods Co., Ltd.;China;002714.SZ
Schindler Holding AG;Switzerland;SCHN.SW
Logan Group Co. Ltd.;China;3380.HK
DKSH Holding AG;Switzerland;DKSH.SW
Guangzhou R&F Properties Co., Ltd.;China;2777.HK
United Co. RUSAL, International Public Joint-Stock Co.;Russia;RUAL.ME
Zhongliang Holdings Group Co. Ltd.;China;2772.HK
KONE Oyj;Finland;KNEBV.HE
PJSC Magnitogorsk Iron & Steel Works;Russia;MAGN.ME
Westlake Corp.;United States;WLK
VMware, Inc.;United States;VMW
Motor Oil (Hellas) Corinth Refineries S.A.;Greece;MOH.AT
Etn. Fr. Colruyt N.V.;Belgium;COLR.BR
Swire Pacific Ltd.;Hong Kong;0019.HK
PJSC Severstal;Russia;CHMF.ME
Rogers Communications Inc.;Canada;RCI-B.TO
Agile Group Holdings Ltd.;China;3383.HK
Haci Ömer Sabanci Holding A.S.;Turkey;SAHOL.IS
Hormel Foods Corp.;United States;HRL
S.A.puto Inc.;Canada;SAP.TO
Icahn Enterprises, L.P.;United States;IEP
Republic Services, Inc.;United States;RSG
Doosan Corp.;South Korea;000150.KS
LS Corp.;South Korea;006260.KS
Sun Hung Kai Properties Ltd.;Hong Kong;0016.HK
JSW Steel Ltd.;India;JSWSTEEL.NS
CLP Holdings;Hong Kong;0002.HK
Sistema PJS Financial Corp.;Russia; AFKS.ME
Hellenic Petroleum Holdings Societe Anonyme;Greece;ELPE.AT
Hermès International Société en commandite par actions;France;SMCP.PA
Golden Agri-Resources Ltd;Singapore;E5h.SI
HCL Technologies Ltd.;India;HCLTECH.NS
Zhejiang Hailiang Co., Ltd;China;002203.SZ
Formosa Plastics Corp.;Taiwan;1301.TW
Acciona, S.A.;Spain;ANA.MC
Saras S.p.A.;Italy;SAAFY
Molson Coors Beverage Co.;United States;TAP
Ramsay Health Care Ltd.;Australia;RHC.AX
CGI Inc.;Canada;GIB
DICK'S Sporting Goods, Inc.;United States;DKS
Nine Dragons Paper (Holdings) Ltd.;China;2689.HK
D'Ieteren Group S.A.;Belgium;DIE.BR
Gestamp Automoción, S.A.;Spain;GEST.MC
Seaboard Corp.;United States;SEB
Grupo Comercial Chedraui, S.A.B. de C.V.;Mexico;CHDRAUIB.MX
SEB S.A.;France;SK.PA
Yamazaki Baking Co., Ltd.;Japan;2212.T
First Pacific Co. Ltd.;Hong Kong;0142.HK
Harim Holdings Co., Ltd.;South Korea;003380.KQ
Arca Continental, S.A.B. de C.V.;Mexico;AC.MX
Chow Tai Fook Jewellery Group Ltd.;Hong Kong;1929.HK
The Hershey Co.;United States;HSY
New World Development Co. Ltd.;Hong Kong;0017.HK
Orbia Advance Corp., S.A.B. de C.V.;Mexico;ORBIA.MX
PT Gudang Garam Tbk;Indonesia;GGRM.JK
HAL Trust;Netherlands Antilles;HAL.AS
Groupe Bruxelles Lambert S.A.;Belgium;GBLB.BR
Harel Insurance Investments & Financial Services Ltd;Israel;HARL.TA
Nippon Paint Holdings Co., Ltd.;Japan;4612.T
Constellation Brands, Inc.;United States;STZ
Companhia Siderúrgica Nacional;Brazil;CSNA3.SA
Wendel;France;MF.PA
Campbell Soup Co.;United States;CPB
Wipro Ltd.;India;WIT
Franklin Resources, Inc.;United States;BEN
SM Investments Corp.;Philippines;SM.PS
Dassault Aviation S.A.;France;AM.PA
Burelle S.A.;France;BUR.PA
Sonae, SGPS, S.A.;Portugal;SON.LS
The Swatch Group AG;Switzerland;UHR.SW
Skyworth Group Ltd.;Hong Kong;1911.HK
PIK-specialized homebuilder PJSC;Russia;PIKK.ME
Barry Callebaut AG;Switzerland;BARN.SW
Fomento de Construcciones y Contratas, S.A.;Spain;FCC.MC
Knorr-Bremse AG;Germany;KBX.DE
Ferrovial, S.A.;Spain;FER.MC
Eurofins Scientific SE;Luxembourg;ERF.PA
Bic Camera Inc.;Japan;3048.T
Quiñenco S.A.;Chile;QUINENCO.SN
Grupo Elektra, S.A.B. de C.V.;Mexico;ELEKTRA.MX
Antofagasta plc;United Kingdom;ANTO.L
Organización Soriana, S. A. B. de C. V.;Mexico;SORIANAB.MX
Otsuka Corp.;Japan;4578.T
GOME Retail Holdings Ltd.;Hong Kong;3699.HK
Open House Group Co., Ltd.;Japan;3288.T
Lens Technology Co., Ltd.;China;2357.HK
Mobile TeleSystems PJSC;Russia;M1BT34.SA
Wacker Chemie AG;Germany;WCH.DE
Trina Solar Co., Ltd;China;688599.SS
ICL Group Ltd;Israel;ICL
The Hong Kong and China Gas Co. Ltd.;Hong Kong;0003.HK
Times China Holdings Ltd.;China;1233.HK
Ackermans & Van Haaren N.V.;Belgium;ACKB.BR
COSMOS Pharmaceutical Corp.;Japan;3349.T
Webuild S.p.A.;Italy;WBD.MI
China Fortune Land Development Co., Ltd.;China;600340.SS
Central China Real Estate Ltd.;China;0832.HK
HORNBACH Holding AG & Co. KGaA;Germany;HBH.DE
UCB S.A.;Belgium;UCB.BR
Eurocash S.A.;Poland;EUR.WA
Dillard's, Inc.;United States;DDS
United Internet AG;Germany;UTDI.DE
Savencia S.A.;France;SAVE.PA
Thomson Reuters Corp.;Canada;TRI
Magazine Luiza S.A.;Brazil;MGLU3.SA
Empresas CMPC S.A.;Chile;CMPC.SN
OCI N.V.;Netherlands;OCI.AS
Skechers U.S.A., Inc.;United States;SKX
Eagers Automotive Ltd.;Australia;EGR.AX
Radiance Holdings (Group) Co. Ltd.;China;9993.HK
AG Anadolu Grubu Holding A.S.;Turkey;AGHOL.IS
Pick n Pay Stores Ltd.;South Africa;PIK.JO
Al Rajhi Banking and Investment Corp.;Saudi Arabia;1120.SR
Amkor Technology, Inc.;United States;AMKR
Sinclair Broadcast Group, Inc.;United States;SBGI
Viohalco S.A.;Belgium;VIO.BR
Bombardier Inc.;Canada;BBD-B.TO
Grupo Carso, S.A.B. de C.V.;Mexico;GCARSOA1.MX
Canfor Corp.;Canada;CFP.TO
China Risun Group Ltd.;China;1907.HK
Bechtle AG;Germany;BC8.DE
Knight-Swift Transportation Holdings Inc.;United States;KNX
Hankook Tire & Technology Co., Ltd.;South Korea;000270.KS
Industrias Peñoles, S.A.B. de C.V.;Mexico;PE&OLES.MX
China SCE Group Holdings Ltd.;China;1966.HK
PORR AG;Austria;POS.VI
Sunwoda Electronic Co.,Ltd;China;300207.SZ
Zhenro Properties Group Ltd.;China;6158.HK
Levi Strauss & Co.;United States;LEVI
Sundrug Co.,Ltd.;Japan;9989.T
Under Armour, Inc.;United States;UAA
Grifols S.A.;Spain;GRFS
Schneider National, Inc.;United States;SNDR
Coca-Cola Consolidated, Inc.;United States;COKE
SK Discovery Co., Ltd.;South Korea;006121.KS
Kotak Mahindra Bank Ltd.;India;KOTAKBANK.NS
Daou Data Corp.;South Korea;032190.KQ
N.V. Bekaert S.A.;Belgium;BEKB.BR
Vingroup Joint Stock Co.;Vietnam;VIC
Yanlord Land Group Ltd.;Singapore;Z25.SI
Continental Resources, Inc.;United States;CLR
Adani Enterprises Ltd.;India;ADANIENT.NS
L.D.C. S.A.;France;LOUP.PA
Telephone and Data Systems, Inc.;United States;TDS
Sopra Steria Group S.A.;France;SOP.PA
Warner Music Group Corp.;United States;WMG
Elbit Systems Ltd.;Israel;ESLT
Greenyard N.V.;Belgium;GREEN.BR
Linamar Corp.;Canada;LNR.TO
JS Global Lifestyle Co. Ltd.;Hong Kong;2105.HK
China Zhongwang Holdings Ltd.;China;2099.HK
Hikari Tsushin, Inc.;Japan;9435.T
Grupo Televisa, S.A.B.;Mexico;TVE.MX
China Lesso Group Holdings Ltd.;China;2128.HK
SeAH Holdings Corp.;South Korea;058650.KS
Frasers Group plc;United Kingdom;FRAS.L
Ingles Markets, Incorporated;United States;IMKTA
Imerys S.A.;France;NK.PA
Ayala Corp.;Philippines;AYYLF
PJSC Polyus;Russia;PLZL.ME
Batu Kawan Bhd.;Malaysia;1899.KL
Beijing Dabeinong Technology Group Co.,Ltd.;China;002385.SZ
Kelly Services, Inc.;United States;KELYA
Grupo Aval Acciones y Valores S.A.;Colombia;GRUPOAVAL.CL
PT Bank Central Asia Tbk;Indonesia;BBCA.JK
Elco Ltd.;Israel;ELCO.TA
Chongqing Zhifei Biological Products Co., Ltd.;China;300122.SZ
Jungheinrich AG;Germany;JUN3.DE
Energisa S.A.;Brazil;ENGI3.SA
Grupo Catalana Occidente, S.A.;Spain;GCO.MC
Nongfu Spring Co., Ltd.;China;9633.HK
Japfa Ltd.;Singapore;UD2.SI
Coty Inc.;United States;COTY
Hunter Douglas N.V.;Netherlands;HDG.AS
Gruma, S.A.B. de C.V.;Mexico;GRUMAB.MX
Sun Pharmaceutical Industries Ltd.;India;SUNPHARMA.NS
Kolon Corp.;South Korea;015760.KS
AMERCO;United States;UHAL
S.A.S. Dragon Holdings Ltd.;Hong Kong;1184.HK
JG Summit Holdings, Inc.;Philippines;JGS
AMOREPACIFIC Group;South Korea;002790.KS
Cosan S.A.;Brazil;CSAN3.SA
Ralph Lauren Corp.;United States;RL
Barceló Corporación Empresarial, S.A.;Spain;
Shaw Communications Inc.;Canada;SJRb.TO
Aboitiz Equity Ventures, Inc.;Philippines;ABTZY
E1 Corp.;South Korea;017940.KS
Ezz Steel Co. (S.A.E);Egypt;ESRS.CA
Yuzhou Group Holdings Co. Ltd.;China;1628.HK
Fresh Del Monte Produce Inc.;United States;FDP
Las Vegas Sands Corp.;United States;LVS
Hub Group, Inc.;United States;HUBG
Hero MotoCorp Ltd.;India;HEROMOTOCO.NS
WEG S.A.;Brazil;WEGE3.SA
Weis Markets, Inc.;United States;WMK
Schroders plc;United Kingdom;SDR.L
ERAMET S.A.;France;ERA.PA
Baoye Group Co. Ltd.;China;2355.HK
Krones AG;Germany;KRN.DE
Texhong Textile Group Ltd.;Hong Kong;2100.HK
Lee & Man Paper Manufacturing Ltd.;Hong Kong;2314.HK
YTL Corp. Bhd.;Malaysia;4677.KL
Porto Seguro S.A.;Brazil;PSSA3.SA
Colliers International Group Inc.;Canada;CIGI
Unibel S.A.;France;UCB.BR
HDC HOLDINGS Co., Ltd.;South Korea;012630.KS
Grupo Lala, S.A.B. de C.V.;Mexico;LALAB
Suzhou Gold Mantis Construction Decoration Co., Ltd.;China;300751.SZ
Mercury General Corp.;United States;MCY
Stadler Rail AG;Switzerland;SRAIL.SW
PT Indofood CBP Sukses Makmur Tbk;Indonesia;ICBP.JK
Industrias Bachoco, S.A.B. de C.V.;Mexico;IDBHF
Prosegur Compañía de Seguridad, S.A.;Spain;PSG.MC
Bajaj Auto Ltd.;India;BAJAJ-AUTO.NS
Hopson Development Holdings Ltd.;Hong Kong;0754.HK
Foshan Haitian Flavouring and Food Co. Ltd.;China;603288.SS
Sartorius AG;Germany;SRT3.DE
Buzzi Unicem S.p.A.;Italy;BZU.MI
Seven Group Holdings Ltd.;Australia;SVW.AX
El Sewedy Electric Co.;Egypt;SWDY.CA
bioMérieux S.A.;France;BIM.PA
Prada S.p.A.;Italy;PRDSY
Sungrow Power Supply Co., Ltd.;China;300274.SZ
Drägerwerk AG & Co. KGaA;Germany;DRW3.DE
Cheng Shin Rubber Ind. Co., Ltd.;Taiwan;2105.TW
De'Longhi S.p.A.;Italy;DLG.MI
Swiss Steel Holding AG;Switzerland;STLN.SW
Quebecor Inc.;Canada;QBR-B.TO
Grupo Nacional Provincial, S.A.B.;Mexico;GNP.MX
Danieli & C. Officine Meccaniche S.p.A.;Italy;DAN.MI
China Feihe Ltd.;China;6186.HK
Adani Power Ltd.;India;ADANIPOWER.NS
Daesang Holdings Co., Ltd.;South Korea;084690.KS
SBS Holdings, Inc.;Japan;2384.T
L E Lundbergföretagen AB;Sweden;LUND-B.ST
Mayr-Melnhof Karton AG;Austria;MMK.VI
Bucher Industries AG;Switzerland;BUCN.SW
Trigano S.A.;France;TRI.PA
Sulzer Ltd;Switzerland;SUN.SW
Brown-Forman Corp.;United States;BF-B
Rothschild & Co. SCA;France;
Ipsen S.A.;France;IPN.PA
Fufeng Group Ltd.;China;0546.HK
Cosco Capital, Inc.;Philippines;COSCO.PH
Aurobindo Pharma Ltd.;India;AUROPHARMA.NS
Etex N.V.;Belgium;1628188.BR
Want Want China Holdings Ltd.;Hong Kong;0151.HK
Dangote Cement Plc;Nigeria;DANGCEM.IL
China ZhengTong Auto Services Holdings Ltd.;China;1728.HK
Bonduelle SCA;France;BON.PA
Hengan International Group Co. Ltd.;China;1044.HK
Fuchs Petrolub SE;Germany;FPE3.DE
Genting Bhd.;Malaysia;3182.KL
MSC Industrial Direct Co., Inc.;United States;MSM
Vishay Intertechnology, Inc.;United States;VSH
Oppein Home Group Inc.;China;603833.SS
Redco Properties Group Ltd.;China;1622.HK
Brembo S.p.A.;Italy;BRE.MI
Técnicas Reunidas, S.A.;Spain;TRE.MC
Tsim Sha Tsui Properties Ltd. (aka Sino Group);Hong Kong;0247.HK
Marshall Motor Holdings PLC;United Kingdom;MMH
Worthington Industries, Inc.;United States;WOR
Johnson Electric Holdings Ltd.;Hong Kong;0293.HK
PT Barito Pacific Tbk;Indonesia;BRPT.JK
Columbia Sportswear Co.;United States;COLM
Zhongtian Financial Group Co. Ltd.;China;2433.HK
Create SD Holdings Co., Ltd.;Japan;3184.T
Cyfrowy Polsat S.A.;Poland;CPS.WA
ASBISc Enterprises Plc;Cyprus;ASB.WA
Long Yuan Construction Group Co.,Ltd;China;600491.SS
Hyster-Yale Materials Handling, Inc.;United States;HY
Synergie SE;France;SDG.PA
Pasona Group Inc.;Japan;2168.T
transcosmos inc.;Japan;7832.T
Coloplast A/S;Denmark;COLO-B.CO
Industrias CH, S. A. B. de C.V.;Mexico;ICHB.MX
Jiangnan Group Ltd.;Hong Kong;1366.HK
Henderson Land Development Co. Ltd.;Hong Kong;0012.HK
Young Poong Corp.;South Korea;000670.KS
Match Group, Inc.;United States;MTCH
Hyosung Corp.;South Korea;004800.KS
Geo Holdings Corp.;Japan;2681.T
Mota-Engil, SGPS, S.A.;Portugal;EGL.LS
MLS Co., Ltd;China;002745.SZ
Bio-Rad Laboratories, Inc.;United States;BIO
Amrapali Industries Ltd.;India;AMRAPLIN.BO
OC Oerlikon Corporation AG;Switzerland;OERL.SW
Truly International Holdings Ltd.;Hong Kong;0732.HK
The Wharf (Holdings) Ltd.;Hong Kong;0004.HK
JCDecaux S.A.;France;DEC.PA
PT Bayan Resources Tbk;Indonesia;BYAN.JK
Grupo Mateus SA;Brazil;GMAT3.SA
Econocom Group SE;France;ECONB.BR
Turkcell Iletisim Hizmetleri A.S.;Turkey;TCELL.IS
IOI Corp. Bhd.;Malaysia;1961.KL
Redrow plc;United Kingdom;RDW.L
KSB SE & Co. KGaA;Germany;KSB.DE
Erie Indemnity Co.;United States;ERIE
Paul Hartmann AG;Germany;PAH3.DE
Super Retail Group Ltd.;Australia;SUL.AX
Cipla Ltd.;India;CIPLA.NS
Sixt SE;Germany;SIX2.DE
KOSÉ Corp.;Japan;4919.T
Alsea, S.A.B. de C.V.;Mexico;ALSEA.MX